name,website,hq_country,hq_city,founded,category,subsector,modality,company_type,status,description,notes
Accenture (Quantum),https://www.accenture.com,Ireland,Dublin,2017,"Applications, Consulting & Services",Quantum strategy & implementation consulting,,other,active,"Accenture's Quantum Lab offers quantum strategy, use-case discovery, prototyping and quantum security services.","Strategic alliance/investment with 1QBit formed 2017; Accenture HQ is Dublin, Ireland."
Airbus Quantum Technologies,https://www.airbus.com/en/innovation/digital-transformation/quantum-technologies,France,Toulouse,,"Applications, Consulting & Services",Aerospace quantum applications + sensing,,other,active,Airbus explores quantum computing for aerospace optimization and quantum sensing; co-runs the Airbus-BMW Quantum Computing Challenge.,"Airbus HQ is Toulouse, France (Leiden, NL is a quantum research site, not company HQ). Quantinuum chemistry collaboration confirmed."
Alqam,https://www.alqam.sa/,Saudi Arabia,,,"Applications, Consulting & Services",Quantum optimization applications,,startup,uncertain,"Saudi firm applying quantum optimization algorithms across telecom, aviation, logistics, oil-and-gas and finance.",Reclassified from hardware to applications based on stated optimization-software focus; alqam.sa DNS is broken (SERVFAIL/lame delegation) so activity unconfirmed.
AmberFlux,https://amberflux.com,India,Hyderabad,2020,"Applications, Consulting & Services",Hybrid quantum integration / services,,startup,uncertain,EdgeAI company offering hybrid classical-quantum workflow integration and assurance services.,"AmberFlux EdgeAI Pvt Ltd, Hyderabad, incorporated 2020 (corrected from Bangalore). Primarily an edge-AI firm; quantum is a secondary offering, so quantum relevance is limited."
Angstrom AI,https://angstrom-ai.com/,United Kingdom,London,2024,"Applications, Consulting & Services",Generative molecular simulation,,startup,active,Generative-AI plus quantum-accurate physics (MACE) molecular simulation for drug discovery.,"University of Cambridge spinout, Y Combinator-backed; HQ London."
ApexQubit,https://www.apexqubit.com,United States,"Berkeley, California",2018,"Applications, Consulting & Services",Drug discovery / biotech,,startup,active,Quantum-and-AI drug discovery platform simulating molecular dynamics to design therapies for hard-to-treat diseases.,"Berkeley, CA biotech; founders Denis Farnosov (CEO) and Nihil Khaine (CTO). NVIDIA Inception member."
Aqemia,https://www.aqemia.com,France,Paris,2019,"Applications, Consulting & Services",Drug discovery,,startup,active,Drug discovery platform combining quantum/physics-based statistical mechanics and generative AI.,
Arithmos Quantum Technologies,https://arithmosqt.com,United Arab Emirates,Dubai,2025,"Applications, Consulting & Services",Quantum finance / optimization,,startup,active,Develops quantum-hybrid integer-optimization systems for tradable financial markets and portfolio management.,DIFC Dubai AI Campus; founder/CEO Andrew John Wainwright. Canonical site is arithmosqt.com (record's arithmos.ai 404s).
Avanetix,https://www.avanetix.com,Germany,Berlin,2019,"Applications, Consulting & Services",Supply-chain optimization,photonic,startup,active,Applies hybrid quantum-classical optimization and ML to automate and optimize supply chains and logistics.,"Berlin-based; founded ~2019. Original 'photonic' modality tag removed (it is an applied software firm, not a hardware maker)."
Barclays (Quantum),https://www.barclays.com,United Kingdom,London,,"Applications, Consulting & Services",Quantum algorithms for finance,,other,active,"Barclays explores quantum algorithms for portfolio optimization, transaction settlement and risk, partnering with IBM.",
